Date,Open,High,Low,Close,Volume
8/14/2012,1404.36,1410.03,1400.6,1403.93,453956448
8/15/2012,1403.89,1407.73,1401.83,1405.53,438823200
8/16/2012,1405.57,1417.44,1404.15,1415.51,521541216
8/17/2012,1415.84,1418.71,1414.67,1418.16,600927168
8/20/2012,1417.85,1418.13,1412.12,1418.13,443600736
8/21/2012,1418.13,1426.68,1410.86,1413.17,531114464
8/22/2012,1413.09,1416.12,1406.78,1413.49,508463360
8/23/2012,1413.49,1413.49,1400.5,1402.08,462197984
8/24/2012,1401.99,1413.46,1398.04,1411.13,432340000
8/27/2012,1411.13,1416.17,1409.11,1410.43,421847040
8/28/2012,1410.44,1413.63,1405.59,1409.3,410787872
8/29/2012,1409.32,1413.95,1406.57,1410.49,408841248
8/30/2012,1410.08,1410.08,1397.01,1399.48,406387488
8/31/2012,1400.07,1413.09,1398.96,1406.58,575151936
9/4/2012,1406.54,1409.31,1396.56,1404.94,479796288
9/5/2012,1404.94,1408.81,1401.25,1403.43,485651136
9/6/2012,1403.74,1432.12,1403.74,1432.12,577384896
9/7/2012,1432.12,1437.92,1431.45,1437.92,550364736
9/10/2012,1437.92,1438.74,1428.98,1429.08,494991808
9/11/2012,1429.13,1437.76,1429.13,1433.57,527348704
9/12/2012,1433.56,1439.15,1432.99,1436.56,509502880
9/13/2012,1436.56,1463.76,1435.34,1459.99,617087360
9/14/2012,1460.07,1474.51,1460.07,1465.77,745929984
9/17/2012,1465.42,1465.63,1457.55,1461.19,525147488
9/18/2012,1461.19,1461.47,1456.13,1459.32,518979296
9/19/2012,1459.5,1465.15,1457.88,1461.05,536734496
9/20/2012,1461.05,1461.23,1449.98,1460.26,541019392
9/21/2012,1460.34,1467.07,1459.51,1460.15,1501955072
9/24/2012,1459.76,1460.72,1452.06,1456.89,509947968
9/25/2012,1456.94,1463.24,1441.59,1441.59,609070336
9/26/2012,1441.6,1441.6,1430.53,1433.32,545300736
